County,2010 Pop w/Low Store Access,2015 Pop w/Low Store Access,%change '10-'15 Pop w/Low Store Access,2010 Low Income Pop w/Low Store Access,2015 Low Income Pop w/Low Store Access,%change '10-'15 Low Income Pop w/Low Store Access
Alameda,160424.9087,107964.3984,-32.70097562,24226.68578,15141.06332,-37.50253972
Contra Costa,206021.8379,200374.3823,-2.741192716,28361.31414,31140.41696,9.798921193
Marin,41395.85274,30188.57469,-27.07343202,4989.118612,4305.925567,-13.6936621
Napa,19302.47762,13839.77538,-28.30052361,3608.637314,3165.391661,-12.28290943
San Francisco,26692.3761,4473.702112,-83.23977568,11090.35615,2592.475672,-76.62405394
San Mateo,82647.01348,69488.54731,-15.92128453,11018.9752,7901.560519,-28.29133042
Santa Clara,170081.0913,132928.1611,-21.84424497,22555.76582,17684.3415,-21.59724638
Solano,92519.68407,72338.64563,-21.8126971,16815.79444,13981.21596,-16.85664324
Sonoma,79444.08975,74693.73384,-5.979495672,18498.80822,19423.50669,4.998692107
